place,year,lga,state,fpi_score,annual_rainfall_mm,population_exposed_thousands
Kazaure,2021,Kazaure,Jigawa,4.062571526,1842,7
Keana,2021,Keana,Nasarawa,7.207228184,1323,100
Kebbe,2021,Kebbe,Sokoto,3.64371562,1716,20
KEFFI,2021,Keffi,Nasarawa,6.656490803,242,84
Keffin Hausa,2021,Kafin Hausa,Jigawa,3.603766203,923,84
Kembu,2021,Ngaski,Kebbi,3.354125738,1385,53
Kende,2021,Bagudo,Kebbi,3.273251772,786,27
Kenu,2021,Baruten,Kwara,2.716088295,753,73
Kerun,2021,Bukkuyum,Zamfara,3.733347893,453,100
Kesangala,2021,Nganzai,Borno,0.948414445,965,91
Kilogbe,2021,Baruten,Kwara,2.770030975,1039,18
Kinsha,2021,Gamawa,Bauchi,2.762835264,1237,8
Kiri,2021,Shelleng,Adamawa,2.351497412,708,27
Kirikasama,2021,Kiri Kasama,Jigawa,3.066427708,919,12
KISHI,2021,Irepo,Oyo,3.258357286,1405,70
Kiyawa,2021,Kiyawa,Jigawa,3.969337225,124,12
Kogin Baba,2021,Toungo,Adamawa,4.438742161,1652,77
KOKO,2021,Shanga,Kebbi,2.933075666,1606,79
Kokori,2021,Ethiope East,Delta,7.275419712,1106,91
Kokuwa,2021,Gulani,Yobe,2.205496311,1540,81
Kombo,2021,Balanga,Gombe,2.765957832,1532,26
Konduga,2021,Konduga,Borno,1.358768106,425,37
Konkul,2021,Maiha,Adamawa,1.207407236,337,43
Konkwesso,2021,Borgu,Niger,2.597227335,1531,33
KONTAGORA,2021,Kontagora,Niger,3.431300879,104,13
Kotonkoro,2021,Mariga,Niger,3.74805069,126,29
Kubacha,2021,Kagarko,Kaduna,6.173416138,995,82
Kubli,2021,Borgu,Niger,2.331787109,1144,32
Kudan,2021,Kudan,Kaduna,3.986148357,1665,5
Kujakwa,2021,Kuje,Federal Capital Territory,7.266177654,1288,39
Kuje,2021,Abuja Municipal,Federal Capital Territory,6.518725872,1143,49
Kukawa,2021,Kukawa,Borno,1.144546986,1466,46
Kumagunnam,2021,Yusufari,Yobe,2.653177977,143,23
Kumshe,2021,Bama,Borno,0.655893266,1260,65
Kumuo,2021,Shira,Bauchi,3.597600937,835,42
Kunchi,2021,Kunchi,Kano,4.694004059,752,39
Kunya,2021,Minjibir,Kano,4.205640316,982,32
Kura,2021,Kura,Kano,4.513299942,1171,43
Kurama Suko,2021,Fakai,Kebbi,3.29803133,1533,22
Kurdula,2021,Gudu,Sokoto,1.991705656,414,74
Kurfi,2021,Kurfi,Katsina,3.791486263,1230,93
Kurua,2021,Tureta,Sokoto,3.614007711,1935,48
Kurugin Maidowa,2021,Mariga,Niger,4.549218655,1998,33
Kurukuru,2021,Sabon Birni,Sokoto,2.722020626,1363,14
Kusheriki,2021,Rafi,Niger,3.867901087,610,81
Kutigi,2021,Lavun,Niger,4.786928654,1214,98
Kutiluko,2021,Agaie,Niger,5.928256512,551,91
Kutiwenji,2021,Lavun,Niger,4.556845665,1116,29
Kwadaga,2021,Birnin Gwari,Kaduna,4.302400112,821,48
Kwajaffa Babur,2021,Hawul,Borno,0.787388325,456,58
Kwali,2021,Kwali,Federal Capital Territory,6.839579582,804,21
Kware,2021,Kware,Sokoto,3.489506483,412,82
Kwiambana,2021,Maru,Zamfara,3.78725791,943,38
Kwolla,2021,Qua'an Pan,Plateau,6.028816223,1434,22
Lafagu,2021,Bagudo,Kebbi,2.714215279,1138,11
Lafia,2021,Dekina,Kogi,9.048753738,719,45
LAFIAGI,2021,Edu,Kwara,5.40112114,1815,54
LAGOS,2021,Eti-Osa,Lagos,6.853796959,1059,10
Lalupon,2021,Lagelu,Oyo,6.189631462,531,54
Lame,2021,Toro,Bauchi,4.388856411,1940,45
Laminga,2021,Nasarawa,Nasarawa,7.403171539,1245,55
Langtang,2021,Langtang North,Plateau,5.366636753,838,59
Lanlate,2021,Ibarapa East,Oyo,5.849895,616,67
Lantewa,2021,Tarmuwa,Yobe,1.782417536,1413,87
Lapai,2021,Lapai,Niger,6.252258301,1809,42
Lau,2021,Lau,Taraba,3.547671795,746,38
Lema,2021,Arewa,Kebbi,2.689461708,948,6
LERE,2021,Tafawa Balewa,Bauchi,4.64677,1333,84
Letugbene,2021,Ekeremor,Bayelsa,6.030240059,222,90
Libba,2021,Maiyama,Kebbi,2.99793911,1128,58
Limanti,2021,Mafa,Borno,1.278967977,1076,55
Little Gombi,2021,Gombi,Adamawa,1.765740037,343,47
Ljaiye,2021,Itesiwaju,Oyo,4.089721203,1509,95
LOGOMANI,2021,Ngala,Borno,1.041753888,1754,61
LOKOJA,2021,Lokoja,Kogi,9.139187813,967,57
Lollo,2021,Bagudo,Kebbi,3.194319248,483,56
Madalla,2021,Suleja,Niger,6.427538872,1435,100
Madara,2021,Katagum,Bauchi,2.666252375,1367,28
Mafa,2021,Mafa,Borno,1.333358526,341,66
Magami,2021,Gusau,Zamfara,4.092934132,396,76
Magumeri,2021,Magumeri,Borno,1.426260114,733,75
Mahuta,2021,Fakai,Kebbi,3.298177004,1941,70
Mai Gora,2021,Faskari,Katsina,4.18337059,1075,43
MAIDUGURI,2021,Maiduguri,Borno,1.043997288,1083,37
Maigatari,2021,Maigatari,Jigawa,3.27134347,1100,25
Maiha,2021,Maiha,Adamawa,1.354836226,1791,90
Maimadi,2021,Alkaleri,Bauchi,2.994710922,449,88
Mainok,2021,Kaga,Borno,1.278985858,1434,46
Maiyema,2021,Maiyama,Kebbi,2.560878754,990,86
MAKURDI,2021,Makurdi,Benue,8.217050552,128,90
Mala,2021,Gassol,Taraba,5.289084911,1357,54
Malissa,2021,Gwandu,Kebbi,2.849835396,361,43
Mallamji,2021,Tureta,Sokoto,3.397778511,746,25
Malum Maja,2021,Dikwa,Borno,1.168622136,1004,47
Malumfashi,2021,Malumfashi,Katsina,4.432441235,1634,91
Mamu,2021,Ijebu North,Ogun,6.697644711,342,27
Manegi,2021,Mashegu,Niger,4.033610821,597,7
Mani,2021,Mani,Katsina,4.230948925,1111,46
Manmagi,2021,Gbako,Niger,5.104766369,1436,15
Manu,2021,Tangaza,Sokoto,2.247655392,1757,63
Maradun,2021,Maradun,Zamfara,3.693443775,1226,55
Marafa,2021,Fakai,Kebbi,3.135643005,1274,39
Mararaba,2021,Donga,Taraba,5.932815552,268,40
Marguba,2021,Kaga,Borno,1.20467937,1454,65
Marnona,2021,Wurno,Sokoto,3.121111631,1904,74
Marte,2021,Marte,Borno,1.007472277,309,72
Masba,2021,Konduga,Borno,0.738644719,448,21
Mashe,2021,Edu,Kwara,5.076664925,1182,68
Matani,2021,Toto,Nasarawa,8.07012558,1451,78
Matari,2021,Soba,Kaduna,4.77560854,688,35
Mato,2021,Shendam,Plateau,5.847616673,1768,82
Matsena,2021,Machina,Yobe,2.917800665,944,22
Mayaki,2021,Lapai,Niger,6.45976162,109,27
Mayo Faran,2021,Mayo Belwa,Adamawa,3.089781761,660,82
Mayo Lope,2021,Demsa,Adamawa,2.694177389,1516,52
Mayo Ndaga,2021,Sardauna,Taraba,5.031755447,605,24
Mbara,2021,Vandeikya,Benue,7.483701706,1318,5
Meko,2021,Imeko Afon,Ogun,5.248727798,625,84
Meori,2021,Yusufari,Yobe,2.455038309,1398,14
MINNA,2021,Chanchaga,Niger,5.352548122,148,96
Miringa,2021,Biu,Borno,2.180639744,117,36
Misau,2021,Misau,Bauchi,2.628398657,971,34
Miya,2021,Ganjuwa,Bauchi,3.35864377,656,26
Mogo,2021,Agwara,Niger,3.209099293,1555,66
MOKWA,2021,Mokwa,Niger,4.405612946,1932,84
Monguno,2021,Monguno,Borno,0.953256369,577,95
Moniya,2021,Akinyele,Oyo,6.194525719,1872,79
Monkin,2021,Zing,Taraba,3.204374313,469,86
Mopa,2021,Mopa Muro,Kogi,7.255433559,1425,84
Moriki,2021,Zurmi,Zamfara,3.661783218,1518,33
Moroa,2021,Akwanga,Nasarawa,6.274762154,1769,44
Mosalachi,2021,Mokwa,Niger,6.161118984,1803,57
Moshi,2021,Kaiama,Kwara,2.748981237,1610,98
Mubi,2021,Mubi South,Adamawa,1.00022471,1125,57
Muduru,2021,Mani,Katsina,4.137596607,1892,25
Mule,2021,Mashegu,Niger,3.538488865,1881,40
Mulgai,2021,Damboa,Borno,0.499368191,607,23
Mungadi,2021,Maiyama,Kebbi,2.677927494,722,10
Murba,2021,Damaturu,Yobe,1.804299355,992,8
Muri,2021,Karim-Lamido,Taraba,4.001934528,1015,60
Musawa,2021,Musawa,Katsina,4.503261566,738,90
Mutum Biyu,2021,Gassol,Taraba,4.489262104,1486,39
Mutumji,2021,Maru,Zamfara,3.858528614,1124,82
Muya,2021,Birnin Gwari,Kaduna,4.277103424,1557,83
NAFADA,2021,Nafada,Gombe,2.288148165,1689,13
Namu,2021,Qua'an Pan,Plateau,6.487424374,1960,25
Nasarawa,2021,Shanga,Kebbi,3.368751764,1140,68
NASARAWA,2021,Nasarawa,Nasarawa,2.735785007,1199,26
Nasarawa,2021,Bukkuyum,Zamfara,7.524806499,1368,17
Ndashe,2021,Lapai,Niger,7.07336235,790,8
Ngamdu,2021,Kaga,Borno,1.527993202,1015,37
Ngelewa,2021,Marte,Borno,1.087062597,728,10
Ngurore,2021,Yola South,Adamawa,2.593011618,533,46
NGURU,2021,Nguru,Yobe,2.985544682,789,66
Nikrowa,2021,Ovia South-West,Edo,8.041130066,195,73
Ningi,2021,Ningi,Bauchi,4.361576557,649,58
Nsukka,2021,Nsukka,Enugu,8.790616035,846,90
Nugmagi,2021,Lapai,Niger,7.566671371,667,14
Nugurosoye,2021,Bama,Borno,1.462382197,312,16
Numan,2021,Numan,Adamawa,2.224302292,856,6
Obi,2021,Obi,Nasarawa,6.648629665,1251,38
Obudu,2021,Obudu,Cross River,7.189534664,106,8
Odenyi,2021,Bassa,Kogi,8.706529617,1669,6
Odo-Ogun,2021,Oyo West,Oyo,5.280229568,122,26
OFFA,2021,Offa,Kwara,6.25758028,1078,55
OGBOMOSHO,2021,Ogbomosho North,Oyo,5.027888298,1961,88
Ogboro,2021,Saki East,Oyo,3.467320681,996,21
Ogidigbe,2021,Warri South West,Delta,6.415561199,1864,36
OGOJA,2021,Ogoja,Cross River,7.885700703,226,46
Ogunbayo,2021,Ifelodun,Kwara,5.325716496,1435,69
Oji River Settlement,2021,Oji River,Enugu,9.089046478,1969,75
Okarki,2021,Ahoada West,Rivers,6.903861523,1747,82
Oke Igbira,2021,Ikole,Ekiti,7.386371136,1232,89
OKE-IHO,2021,Kajola,Oyo,4.547297955,1276,73
Oke-Ile,2021,Iwajowa,Oyo,4.760912895,178,84
Okeluse,2021,Ovia North-East,Edo,8.558347702,602,60
Oke-Mesi,2021,Ekiti West,Ekiti,6.313596249,953,100
OKENE,2021,Adavi,Kogi,8.861053467,134,5
Okha,2021,Ovia South-West,Edo,8.261522293,1295,35
Okigwi,2021,Okigwe,Imo,8.210540771,376,21
Okitipupa,2021,Okitipupa,Ondo,7.606019974,1096,53
Okolushe-Egboro,2021,Pategi,Kwara,6.040354729,1805,99
Okpari,2021,Ughelli South,Delta,8.078227043,1108,48
Okpiniama,2021,Ogbia,Bayelsa,6.108602524,1601,71
Okum Alfa,2021,Eti-Osa,Lagos,6.330595493,1241,40
Okumbiri,2021,Brass,Bayelsa,4.904110432,1019,28
Okuta,2021,Baruten,Kwara,2.707617044,1053,54
Okwele,2021,Onuimo,Imo,8.419560432,1420,64
Ola,2021,Abeokuta North,Ogun,5.489411831,1211,30
Olojudro,2021,Oluyole,Oyo,6.575924873,1063,65
Olugo,2021,Ankpa,Kogi,8.800823212,367,45
Omolomo,2021,Warri North,Delta,6.405922413,383,19
Omu-Aran,2021,Irepodun,Kwara,5.839216709,1165,51
Omuo,2021,Ekiti East,Ekiti,7.341953754,183,89
ONDO,2021,Ondo West,Ondo,7.545187473,325,10
ONITSHA,2021,Onitsha North,Anambra,8.87037468,118,66
Ora,2021,Ovia North-East,Edo,7.736837387,1547,70
Orah,2021,Ovia South-West,Edo,7.386838436,916,43
Ore,2021,Odigbo,Ondo,7.645305157,1483,26
Oro,2021,Irepodun,Kwara,5.312648773,892,26
Orogun,2021,Ndokwa West,Delta,7.654881954,405,27
Oron,2021,Oron,Akwa Ibom,5.657934189,1025,51
Oru,2021,Ijebu North,Ogun,6.779872894,462,96
Osenseni,2021,Kogi,Kogi,7.839356422,1918,60
OSHOGBO,2021,Osogbo,Osun,5.861715317,1269,19
Osi,2021,Ekiti,Kwara,6.291577816,1503,28
Otuan,2021,Southern Ijaw,Bayelsa,6.783846378,879,63
Otun,2021,Moba,Ekiti,6.592339516,449,67
Oturkpo,2021,Otukpo,Benue,8.669848442,1902,16
Oviri,2021,Okpe,Delta,7.53789711,731,28
Owerri,2021,Owerri Municipal,Imo,7.636687279,1000,93
OWO,2021,Owo,Ondo,8.343462944,865,43
OYO,2021,Oyo East,Oyo,5.938153744,1141,9
Pai,2021,Wushishi,Niger,4.738975525,1581,100
Paiko,2021,Paikoro,Niger,4.939929008,179,83
Pambeguwa,2021,Kubau,Kaduna,5.056022644,1237,67
Pandam,2021,Karu,Nasarawa,5.946746349,1484,68
Pandogari,2021,Rafi,Niger,4.769467354,421,56
PANKSHIN,2021,Pankshin,Plateau,5.212910175,969,39
Panyam,2021,Mangu,Plateau,5.759533882,1886,73
Papalanto,2021,Ewekoro,Ogun,6.625428677,1471,85
Pari,2021,Kajuru,Kaduna,5.258706093,1298,59
Pate,2021,Abaji,Federal Capital Territory,6.811543941,1582,34
Pategi,2021,Pategi,Kwara,6.157660961,265,11
Pinau,2021,Wase,Plateau,4.945857048,1549,37
Pizhi,2021,Lavun,Niger,4.259946823,1799,43
PORT HARCOURT,2021,Port Harcourt,Rivers,6.35443306,1079,80
POTISKUM,2021,Potiskum,Yobe,2.667051792,986,77
Pupanyunyu,2021,Askira/Uba,Borno,0.642410517,772,67
Putuk,2021,Alkaleri,Bauchi,3.114108324,1024,72
Rafin Dinga,2021,Ningi,Bauchi,4.109866619,566,43
Rafin Tsaka,2021,Arewa,Kebbi,2.674943209,1759,26
Rahama,2021,Lere,Kaduna,5.115880489,1536,52
RAKA,2021,Gwadabawa,Sokoto,2.680890322,491,18
Randeggi,2021,Birnin Gwari,Kaduna,4.428226948,1347,45
Rano,2021,Rano,Kano,4.401796818,1877,67
Rauta,2021,Bauchi,Bauchi,3.750440836,412,96
Rijau,2021,Rijau,Niger,3.041666508,1714,39
RINGIM,2021,Ringim,Jigawa,4.215425491,878,23
Rinjim Mukur,2021,Toro,Bauchi,4.852046013,873,29
Ruan Badu,2021,Maradun,Zamfara,3.580518723,139,12
Rurum,2021,Rano,Kano,4.741786957,1120,19
Rusu,2021,Gusau,Zamfara,4.469385147,370,27
Ruwan Doruwa,2021,Bungudu,Zamfara,3.441350937,1257,16
Ruwan Jema,2021,Bukkuyum,Zamfara,3.728667021,798,77
Sabon Birni,2021,Igabi,Kaduna,4.860548973,1961,39
Sabon Gari,2021,Toro,Bauchi,2.489078999,1023,22
Sabon Gari,2021,Darazo,Bauchi,2.895488024,241,35
Sabon Gari,2021,Koko/Besse,Kebbi,4.22175312,1321,73
Sabon Gida,2021,Borgu,Niger,3.210422993,1453,51
Sade,2021,Darazo,Bauchi,3.473941565,1756,75
Saforogbon,2021,Ese Odo,Ondo,7.910015106,894,89
Sainyinan Daji,2021,Tambuwal,Sokoto,3.17743659,1574,45
Sakaba,2021,Sakaba,Kebbi,4.297323227,393,53
Sakke,2021,Wasagu/Danko,Kebbi,3.562068701,708,13
Sakwabe,2021,Arewa,Kebbi,2.381076336,236,44
Salka,2021,Magama,Niger,3.516181469,1649,42
Samamiya,2021,Gwaram,Jigawa,3.596446991,1317,77
Samia,2021,Bagudo,Kebbi,2.755317688,1428,33
Sanbi,2021,Bagudo,Kebbi,2.279816866,1847,69
Sansanne,2021,Gassol,Taraba,5.172399998,861,37
Sanusi,2021,Odeda,Ogun,6.083750725,556,30
SAPELE,2021,Sapele,Delta,7.440192699,1386,8
SARKIN PAWA,2021,Muya,Niger,4.978597641,777,77
Sauri,2021,Tsafe,Zamfara,4.193232536,176,45
Sendirdi,2021,Gassol,Taraba,4.997115612,112,29
Serti,2021,Gashaka,Taraba,5.177015781,1657,14
Shagamu,2021,Shagamu,Ogun,6.812206268,313,95
SHAKI,2021,Saki West,Oyo,3.626676798,1097,61
Shamaki,2021,Ningi,Bauchi,3.754917622,697,20
Shani,2021,Shani,Borno,2.269203186,1845,75
Shanono,2021,Shanono,Kano,4.464296341,971,45
Share,2021,Ifelodun,Kwara,4.376832008,1027,16
Shemankar,2021,Shendam,Plateau,5.898091316,669,28
Shendam,2021,Shendam,Plateau,5.65787077,614,29
Shika,2021,Mokwa,Niger,3.335528135,1497,96
Shinaka,2021,Goronyo,Sokoto,2.933443308,440,30
Shiwun,2021,Obafemi Owode,Ogun,6.192018509,631,73
Shomulekiri,2021,Kabba/Bunu,Kogi,7.130788326,1995,19
Shonga,2021,Edu,Kwara,4.708669662,1895,82
Siluko,2021,Ovia South-West,Edo,7.568039417,1307,26
Sitti,2021,Sumaila,Kano,4.514397144,335,52
Soba,2021,Soba,Kaduna,4.806354046,673,74
Sofo-Birnin-Gwari,2021,Birnin Gwari,Kaduna,4.059597015,681,29
Sogaga,2021,Kubau,Kaduna,4.786499023,1702,13
SOKOTO,2021,Sokoto South,Sokoto,2.629053593,693,90
Song,2021,Song,Adamawa,1.533975959,779,86
Sugu,2021,Ganye,Adamawa,3.576916695,478,45
Sumaila,2021,Sumaila,Kano,4.512003899,1062,32
Suntai,2021,Bali,Taraba,4.991339684,302,6
Suru,2021,Suru,Kebbi,2.930455208,304,69
Suya,2021,Baruten,Kwara,2.674877405,905,75
Swate,2021,Borgu,Niger,2.683885813,661,33
Tafawa Balewa,2021,Tafawa Balewa,Bauchi,4.001233578,325,95
Takai,2021,Takai,Kano,4.168383121,1757,6
Taki,2021,Kabba/Bunu,Kogi,7.826692104,1083,34
TAKUM,2021,Takum,Taraba,6.351063251,1306,24
Takura,2021,Kwali,Federal Capital Territory,7.245446205,135,74
Takuti,2021,Lapai,Niger,5.702974796,1719,30
Talata Mafara,2021,Talata Mafara,Zamfara,4.164372444,1180,60
Tando,2021,Abaji,Federal Capital Territory,6.394476891,892,52
Tapa,2021,Ibarapa North,Oyo,5.812318325,549,90
Tapkin Fuss,2021,Gudu,Sokoto,2.205754519,1666,76
Taramal,2021,Alkaleri,Bauchi,4.205654621,1340,94
Tegina,2021,Rafi,Niger,4.698111057,1655,84
Tepe,2021,Fufure,Adamawa,1.629276514,1558,93
Tilli,2021,Bunza,Kebbi,2.800911188,1618,93
Tongo,2021,Funakaye,Gombe,2.472919703,275,9
Tor Donga,2021,Katsina Ala,Benue,6.842450142,1649,15
Toto,2021,Toto,Nasarawa,7.79295826,1864,32
Toungo,2021,Toungo,Adamawa,3.649259567,1003,88
Tsamiya,2021,Tureta,Sokoto,3.298601151,1345,96
Tsanni,2021,Batagarawa,Katsina,3.890108347,548,13
Tswafu,2021,Mashegu,Niger,3.900869131,393,62
Tudun Quardo,2021,Chikun,Kaduna,4.401643276,1129,93
Tudun Wada,2021,Tudun Wada,Kano,4.456238747,1584,69
Tukudawa,2021,Isa,Sokoto,3.492578983,318,14
Tundun Sakwa,2021,Chikun,Kaduna,4.768877983,1826,14
Tunga Laila,2021,Shanga,Kebbi,2.95711875,1607,58
Tungan Gimba,2021,Lafia,Nasarawa,6.991159439,1424,95
Udubo,2021,Gamawa,Bauchi,2.862870216,1094,12
Ugbenu,2021,Ethiope West,Delta,8.425598145,294,37
Ugep,2021,Yakuur,Cross River,7.988812447,1522,91
Ugumji,2021,Ganjuwa,Bauchi,3.329466581,942,8
Uke,2021,Karu,Nasarawa,6.868143082,561,27
Ukehe,2021,Igbo Etiti,Enugu,9.157550812,1647,32
Ulmiri,2021,Yusufari,Yobe,2.517861843,351,95
Umuahia,2021,Umuahia North,Abia,8.16994381,1954,42
Umunede,2021,Ika North East,Delta,8.231416702,1738,58
Ungwan Zakara,2021,Birnin Gwari,Kaduna,4.508653164,1563,76
Ungwar Amere,2021,Jema'a,Kaduna,6.192638874,856,35
Unkwoi,2021,Mariga,Niger,3.790402651,802,58
UROMI,2021,Esan North-East,Edo,8.450233459,1562,21
Uvbe,2021,Uhunmwonde,Edo,8.467288971,1184,44
Uyanga Okpo Usun,2021,Akamkpa,Cross River,6.570446968,973,40
Uyo,2021,Uyo,Akwa Ibom,5.999733448,469,81
Uzawo,2021,Mariga,Niger,3.729873896,1322,25
Wamdewo,2021,Askira/Uba,Borno,1.119362473,752,55
Wamuri,2021,Konduga,Borno,1.314155698,607,85
Warari,2021,Rijau,Niger,3.160110235,319,99
WARRI,2021,Warri South,Delta,7.841735363,490,30
Waru,2021,Abuja Municipal,Federal Capital Territory,6.760876656,934,7
Wasagu,2021,Wasagu/Danko,Kebbi,3.64724493,764,25
WAWA,2021,Borgu,Niger,2.721181154,726,51
Waya,2021,Kwande,Benue,7.0076828,1288,46
Worumokato,2021,Kaiama,Kwara,3.143162251,909,25
Wudil,2021,Wudil,Kano,4.251782417,1806,31
WUKARI,2021,Wukari,Taraba,6.634807587,772,52
Wurianka,2021,Shelleng,Adamawa,2.542943478,1767,48
Wurio,2021,Gassol,Taraba,5.302132607,1842,21
Wurno,2021,Wurno,Sokoto,2.294439316,1305,23
Wuro Yolde,2021,Fufure,Adamawa,2.097729683,1963,42
WUYA,2021,Mokwa,Niger,5.799010754,1219,48
Wuyo,2021,Bayo,Borno,2.961272955,475,56
Yajiwa,2021,Konduga,Borno,1.421886206,262,17
Yako,2021,Kiru,Kano,4.606085777,1300,79
Yalowo,2021,Idanre,Ondo,8.179570198,448,34
Yan Tumaki,2021,Dan Musa,Katsina,4.37455368,1053,65
Yango,2021,Talata Mafara,Zamfara,4.007192612,284,54
Yashikera,2021,Baruten,Kwara,2.431852818,404,25
Yasku,2021,Magumeri,Borno,1.444784999,1026,66
Yekami,2021,Ife South,Osun,6.699302197,651,21
Yenagoa,2021,Yenagoa,Bayelsa,6.833834171,1555,71
Yola,2021,Yola North,Adamawa,2.156755686,1811,79
Yusufari,2021,Yusufari,Yobe,2.337063313,1039,30
Zaki Biam,2021,Ukum,Benue,6.935350418,1861,43
Zari,2021,Mobbar,Borno,1.550121069,1633,9
ZARIA,2021,Zaria,Kaduna,4.489793777,1266,25
Zeddi,2021,Jakusko,Yobe,2.494452238,562,39
Zenabi,2021,Doguwa,Kano,4.59315443,112,34
Zhiru,2021,Karim-Lamido,Taraba,4.039351463,672,23
Zindiwa,2021,Gamawa,Bauchi,2.471037149,1444,81
Zogodo,2021,Tarmuwa,Yobe,1.915666342,1167,58
Zongon Daji,2021,Adavi,Kogi,8.449442863,329,24
Zugurma,2021,Mashegu,Niger,3.830513954,1091,22
ZUNGERU,2021,Wushishi,Niger,4.388968468,610,60
Zurak,2021,Wase,Plateau,3.609022617,1989,68
Zurmi,2021,Zurmi,Zamfara,3.950054884,604,42
Zuru,2021,Zuru,Kebbi,3.534852505,615,26
ABA,2022,Aba South,Abia,7.499694824,1226,5
Abakaliki,2022,Ebonyi,Ebonyi,8.878283501,956,87
Abaragba,2022,Ikom,Cross River,7.229047775,541,58
ABEOKUTA,2022,Abeokuta South,Ogun,5.848241329,1844,71
Abong,2022,Kurmi,Taraba,5.251291275,642,42
ABUJA,2022,Abuja Municipal,Federal Capital Territory,6.374735832,825,78
Addo,2022,Iseyin,Oyo,5.471498489,183,54
Adebka,2022,Bukkuyum,Zamfara,3.651466131,750,22
Ado,2022,Ado-Odo/Ota,Ogun,5.994868755,834,37
Ado-Ekiti,2022,Ado Ekiti,Ekiti,6.75719595,997,87
Afikpo,2022,Afikpo North,Ebonyi,8.143108368,924,27
Agam,2022,Kajuru,Kaduna,5.049097061,694,93
Agbado,2022,Gbonyin,Ekiti,7.735331535,1813,71
Agbor,2022,Ika South,Delta,9.06787014,1593,24
Ageri,2022,Odeda,Ogun,6.338513374,1098,83
Aggi,2022,Ekeremor,Bayelsa,6.849511623,355,84
Agholopke,2022,Okpe,Delta,8.139929771,616,83
Ago Amadu,2022,Saki East,Oyo,3.374876976,1459,34
Ago-Owu,2022,Ayedaade,Osun,7.166972637,1353,48
Agunrege,2022,Atigbo,Oyo,4.206720352,716,20
Aiyetoro,2022,Egbado North,Ogun,6.043587208,616,25
Ajapa,2022,Ese Odo,Ondo,7.250792503,1629,74
AJASSE IPO,2022,Irepodun,Kwara,6.005986691,254,74
Ajebo,2022,Obafemi Owode,Ogun,7.439861774,955,90
Akerre,2022,Wushishi,Niger,4.603305817,722,20
Akowe,2022,Afijio,Oyo,5.675002098,1172,45
Akungba,2022,Akoko South-West,Ondo,7.685556889,1732,34
Akure,2022,Akure South,Ondo,7.021694183,1138,7
Akwana,2022,Logo,Benue,6.772250652,1421,69
Akwanga,2022,Akwanga,Nasarawa,6.710333347,290,27
Alagarno,2022,Fune,Yobe,1.825619936,1877,22
Alakuka,2022,Ijebu East,Ogun,7.495568752,184,20
Alawa,2022,Shiroro,Niger,5.246739864,1142,57
Alkalere,2022,Alkaleri,Bauchi,3.889851332,1169,21
Alla Soka,2022,Imeko Afon,Ogun,5.072153091,901,6
Amaku,2022,Nasarawa,Nasarawa,7.782434464,937,77
Amper,2022,Kanke,Plateau,4.7683568,1471,6
Andaha,2022,Akwanga,Nasarawa,6.176216125,829,59
Anderai,2022,Maiyama,Kebbi,3.025161266,244,49
Anka,2022,Anka,Zamfara,4.361821175,1134,52
Ankpa,2022,Ankpa,Kogi,9.284135818,896,79
Apawa,2022,Yorro,Taraba,3.550076485,452,32
Apoi,2022,Southern Ijaw,Bayelsa,5.586819172,324,45
Araromi,2022,Moro,Kwara,3.910439968,1956,55
Arege,2022,Abadam,Borno,1.331676841,170,56
Argungu,2022,Argungu,Kebbi,2.840973616,1179,76
ASABA,2022,Oshimili South,Delta,9.145059586,1838,59
Askira,2022,Askira/Uba,Borno,1.01441288,768,30
Atijere,2022,Ilaje,Ondo,7.752262592,1259,16
Atsuku,2022,Kurmi,Taraba,5.283821106,195,34
Atuma,2022,Giwa,Kaduna,4.541750431,331,30
Auchi,2022,Etsako West,Edo,8.677952766,1953,46
Augi,2022,Augie,Kebbi,2.391659737,1139,12
Auna,2022,Magama,Niger,2.747614384,1234,61
Auno,2022,Konduga,Borno,1.57542038,698,54
Awe,2022,Awe,Nasarawa,6.80228138,1864,100
Awgu,2022,Awgu,Enugu,9.07450676,200,27
Awja Awdaw,2022,Egbado North,Ogun,5.972290039,919,14
Awka,2022,Awka South,Anambra,9.290467262,1360,24
Ayale,2022,Dekina,Kogi,8.679026604,457,57
Ayangba,2022,Dekina,Kogi,8.937351227,1741,10
Ayere,2022,Ijumu,Kogi,7.622290134,793,11
Azare,2022,Katagum,Bauchi,3.184039116,1468,54
Babampa,2022,Tsafe,Zamfara,4.684758186,489,47
Babana,2022,Borgu,Niger,2.119345427,1584,54
Babura,2022,Babura,Jigawa,3.811001062,1697,19
BADAGRI,2022,Badagry,Lagos,6.095039368,985,71
Badir,2022,Chibok,Borno,1.086684346,1707,66
Badu,2022,Guzamala,Borno,1.462365508,415,34
Baga,2022,Kukawa,Borno,1.062422514,1139,95
Bagega,2022,Anka,Zamfara,3.958498001,377,32
Bagizza,2022,Arewa,Kebbi,2.207594395,489,69
Bajida,2022,Fakai,Kebbi,3.441243172,1894,31
Bakara,2022,Nasarawa,Nasarawa,7.293302059,1259,35
Bakoreji,2022,Alkaleri,Bauchi,3.529601812,220,25
Bakori,2022,Bakori,Katsina,4.68876791,1747,84
Bakundi,2022,Bali,Taraba,5.01757431,927,48
BAMA,2022,Bama,Borno,1.236569643,919,37
Bamgi,2022,Gudu,Sokoto,2.585049629,1274,34
